W 27 x 178,27.8,14.09,0.725,1.19
W 27 x 161,27.6,14.02,0.66,1.08
W 27 x 146,27.4,14,0.605,0.975
W 27 x 114,27.3,10.07,0.57,0.93
W 27 x 102,27.1,10.02,0.515,0.83
W 27 x 94,26.9,10,0.49,0.745
W 27 x 84,26.7,9.96,0.46,0.64
W 24 x 162,25,13,0.705,1.22
W 24 x 146,24.7,12.9,0.65,1.09
W 24 x 131,24.5,12.9,0.605,0.96
W 24 x 117,24.3,12.8,0.55,0.85
W 24 x 104,24.1,12.75,0.5,0.75
W 24 x 94,24.1,9.07,0.515,0.875
W 24 x 84,24.1,9.02,0.47,0.77
W 24 x 76,23.9,9,0.44,0.68
W 24 x 68,23.7,8.97,0.415,0.585
W 24 x 62,23.7,7.04,0.43,0.59
W 24 x 55,23.6,7.01,0.395,0.505
W 21 x 147,22.1,12.51,0.72,1.15
W 21 x 132,21.8,12.44,0.65,1.035
W 21 x 122,21.7,12.39,0.6,0.96
W 21 x 111,21.5,12.34,0.55,0.875
W 21 x 101,21.4,12.29,0.5,0.8
W 21 x 93,21.6,8.42,0.58,0.93
W 21 x 83,21.4,8.36,0.515,0.835
W 21 x 73,21.2,8.3,0.455,0.74
W 21 x 68,21.1,8.27,0.43,0.685
W 21 x 62,21,8.24,0.4,0.615
W 21 x 57,21.1,6.56,0.405,0.65
W 21 x 50,20.8,6.53,0.38,0.535
W 21 x 44,20.7,6.5,0.35,0.45
W 18 x 119,19,11.27,0.655,1.06
W 18 x 106,18.7,11.2,0.59,0.94
W 18 x 97,18.6,11.15,0.535,0.87
W 18 x 86,18.4,11.09,0.48,0.77
W 18 x 76,18.2,11.04,0.425,0.68
W 18 x 71,18.5,7.64,0.495,0.81
W 18 x 65,18.4,7.59,0.45,0.75
W 18 x 60,18.2,7.56,0.415,0.695
W 18 x 55,18.1,7.53,0.39,0.63
W 18 x 50,18,7.5,0.355,0.57
W 18 x 46,18.1,6.06,0.36,0.605
W 18 x 40,17.9,6.02,0.315,0.525
W 18 x 35,17.7,6,0.3,0.425
W 16 x 100,16.97,10.425,0.585,0.985
W 16 x 89,16.75,10.365,0.525,0.875
W 16 x 77,16.52,10.295,0.455,0.76
W 16 x 67,16.33,10.235,0.395,0.665
W 16 x 57,16.43,7.12,0.43,0.715
W 16 x 50,16.26,7.07,0.38,0.63
W 16 x 45,16.13,7.035,0.345,0.565
W 16 x 40,16.01,6.995,0.305,0.505
W 16 x 36,15.86,6.985,0.295,0.43
W 16 x 31,15.88,5.525,0.275,0.44
W 16 x 26,15.69,5.5,0.25,0.345
W 14 x 132,14.66,14.725,0.645,1.03
W 14 x 120,14.48,14.67,0.59,0.94
W 14 x 109,14.32,14.605,0.525,0.86
W 14 x 99,14.16,14.565,0.485,0.78
W 14 x 90,14.02,14.52,0.44,0.71
W 14 x 82,14.31,10.13,0.51,0.855
W 14 x 74,14.17,10.07,0.45,0.785
W 14 x 68,14.04,10.035,0.415,0.72
W 14 x 61,13.89,9.995,0.375,0.645
W 14 x 53,13.92,8.06,0.37,0.66
W 14 x 48,13.79,8.03,0.34,0.595
W 14 x 43,13.66,7.995,0.305,0.53
W 14 x 38,14.1,6.77,0.31,0.515
W 14 x 34,13.98,6.745,0.285,0.455
W 14 x 30,13.84,6.73,0.27,0.385
W 14 x 26,13.91,5.025,0.255,0.42
W 14 x 22,13.74,5,0.23,0.335
W 12 x 136,13.41,12.4,0.79,1.25
W 12 x 120,13.12,12.32,0.71,1.105
W 12 x 106,12.89,12.22,0.61,0.99
W 12 x 96,12.71,12.16,0.55,0.9
W 12 x 87,12.53,12.125,0.515,0.81
W 12 x 79,12.38,12.08,0.47,0.735
W 12 x 72,12.25,12.04,0.43,0.67
W 12 x 65,12.12,12,0.39,0.605
W 12 x 58,12.19,10.01,0.36,0.64
W 12 x 53,12.06,9.995,0.345,0.575
W 12 x 50,12.19,8.08,0.37,0.64
W 12 x 45,12.06,8.045,0.335,0.575
W 12 x 40,11.94,8.005,0.295,0.515
W 12 x 35,12.5,6.56,0.3,0.52
W 12 x 30,12.34,6.52,0.26,0.44
W 12 x 26,12.22,6.49,0.23,0.38
W 12 x 22,12.31,4.03,0.26,0.425
W 12 x 19,12.16,4.005,0.235,0.35
W 12 x 16,11.99,3.99,0.22,0.265
W 12 x 14,11.91,3.97,0.2,0.225
W 10 x 112,11.36,10.415,0.755,1.25
W 10 x 100,11.1,10.34,0.68,1.112
W 10 x 88,10.84,10.265,0.605,0.99
W 10 x 77,10.6,10.19,0.53,0.87
W 10 x 68,10.4,10.13,0.47,0.77
W 10 x 60,10.22,10.08,0.42,0.68
W 10 x 54,10.09,10.03,0.37,0.615
W 10 x 49,9.98,10,0.34,0.56
W 10 x 45,10.1,8.02,0.35,0.62
W 10 x 39,9.92,7.985,0.315,0.53
W 10 x 33,9.73,7.96,0.29,0.435
W 10 x 30,10.47,5.81,0.3,0.51
W 10 x 26,10.33,5.77,0.26,0.44
W 10 x 22,10.17,5.75,0.24,0.36
W 10 x 19,10.24,4.02,0.25,0.395
W 10 x 17,10.11,4.01,0.24,0.33
W 10 x 15,9.99,4,0.23,0.27
W 10 x 12,9.87,3.96,0.19,0.21
W 8 x 67,9,8.28,0.57,0.935
W 8 x 58,8.75,8.22,0.51,0.81
W 8 x 48,8.5,8.11,0.4,0.685
W 8 x 40,8.25,8.07,0.36,0.56
W 8 x 35,8.12,8.02,0.31,0.495
W 8 x 31,8,7.995,0.285,0.435
W 8 x 28,8.06,6.535,0.285,0.465
W 8 x 24,7.93,6.495,0.245,0.4
W 8 x 21,8.28,5.27,0.25,0.4
W 8 x 18,8.14,5.25,0.23,0.33
W 8 x 15,8.11,4.015,0.245,0.315
W 8 x 13,7.99,4,0.23,0.255
W 8 x 10,7.89,3.94,0.17,0.205
W 6 x 25,6.38,6.08,0.32,0.455
W 6 x 20,6.2,6.02,0.26,0.365
W 6 x 16,6.28,4.03,0.26,0.405
W 6 x 15,5.99,5.99,0.23,0.26
W 6 x 12,6.03,4,0.23,0.28
W 6 x 9,5.9,3.94,0.17,0.215
W 5 x 19,5.15,5.03,0.27,0.43
W 5 x 16,5.01,5,0.24,0.36
W 4 x 13,4.16,4.06,0.28,0.345
